timestamp,index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
116575.345728,1,1.0,0.40031618404803837,0.5417289769287242,116575.345728-0,-74.1646114485591,-22.459209418225726,410.14897429589143,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.12823277512805029,0.0663031865010623,0.9895252613464518,,,,,,
116575.381478,2,1.0,0.4005247498991582,0.5378573972774705,116575.381478-0,-74.00017597728898,-20.997977861682855,410.0701822331467,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.12790390418550998,0.06922564961414801,0.9893676772209624,,,,,,
116575.417229,3,1.0,0.4000501131932522,0.5379480614683041,116575.417229-0,-74.30817292211128,-21.032573332015147,410.0326869889372,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.12851989807515465,0.06915645867348345,0.9892926867325433,,,,,,
116575.452979,5,1.0,0.399850523027524,0.5364458232571481,116575.452979-0,-74.42597575511319,-20.466107355368507,409.97744287074045,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.1287555037411584,0.07028939062677673,0.9891821984961499,,,,,,
116575.488729,6,1.0,0.39771579570895127,0.5359938598754037,116575.488729-0,-75.80471695534361,-20.297356237302722,409.78400150563044,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13151298614161938,0.07062689286290828,0.9887953157659298,,,,,,
116575.52448,7,1.0,0.39651249454681115,0.535422285950392,116575.52448-0,-76.57953572774633,-20.08274588165439,409.66495101464386,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13306262368642474,0.07105611357420498,0.9885572147839568,,,,,,
116575.56023,8,1.0,0.3972081463027737,0.5360578938380849,116575.56023-0,-76.13396573161998,-20.321910563219816,409.7418521572463,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13217148369417198,0.07057778421107411,0.9887110170691614,,,,,,
116575.595981,9,1.0,0.39729205504408316,0.5365147875616564,116575.595981-0,-76.08317660099308,-20.49417262120518,409.760905381094,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13206990543291813,0.07023326009510336,0.988749123516857,,,,,,
116575.631731,10,1.0,0.3967980914471897,0.5371348763505299,116575.631731-0,-76.40794327234765,-20.728484732372465,409.73400624296704,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13271943877562736,0.06976463587276882,0.988695325240603,,,,,,
116575.667481,11,1.0,0.3970702151902595,0.5380820842047119,116575.667481-0,-76.23906839744453,-21.085624839880865,409.78171597009356,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13238168902582112,0.06905035565775201,0.9887907446948562,,,,,,
116575.703232,12,1.0,0.397593435426076,0.5388782774671079,116575.703232-0,-75.9063391816648,-21.38561881276152,409.84700478746737,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13171623059426166,0.0684503677119907,0.9889213223296036,,,,,,
116575.738982,13,1.0,0.397816240576363,0.540299200354669,116575.738982-0,-75.7730389154286,-21.9217081571405,409.9015543089921,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13144963006178922,0.06737818902323274,0.9890304213726531,,,,,,
116575.774733,14,1.0,0.397303599980435,0.5409609668101087,116575.774733-0,-76.11032530654913,-22.171982617500475,409.8735973201567,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13212420284403023,0.06687764010251279,0.9889745073949823,,,,,,
116575.810483,15,1.0,0.39765014645318636,0.5404068576953294,116575.810483-0,-75.88148083485652,-21.96249322813668,409.8899063510861,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13166651390064513,0.06729661888124035,0.9890071254568411,,,,,,
116575.846233,16,1.0,0.39740609742374816,0.5425777247089867,116575.846233-0,-76.0565236144391,-22.78236537537923,409.9216791363593,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.1320165994598103,0.06565687458675527,0.9890706710273874,,,,,,
116575.881984,17,1.0,0.3944378741656004,0.5275994840005909,116575.881984-0,-77.86129284400589,-17.136189664832017,409.2700261153107,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13562613791894376,0.07694922600784974,0.9877673649852904,,,,,,
116575.917734,18,1.0,0.3947231884985468,0.5169001305490106,116575.917734-0,-77.59254240306659,-13.111294181197806,408.9768184235705,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.13508863703706522,0.08499901697511812,0.9871809496018098,,,,,,
116575.953485,19,1.0,0.39534203956365005,0.515315804002705,116575.953485-0,-77.1800917696779,-12.515829811643982,408.98145667454344,-10.048223884533982,-55.61080266875687,-84.61365637733445,-0.1342637357702878,0.08618994571422578,0.9871902261037557,,,,,,
