timestamp,index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
116010.954163,1,1.0,0.39823407154451,0.457621821298964,116010.954163-0,-75.37867241264217,9.090853182253227,409.62563462700757,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.13352510076832466,0.1275023320876243,0.9828093420277534,,,,,,
116010.989914,2,1.0,0.39947199929897853,0.458663040810677,116010.989914-0,-74.58605666039725,8.700665123491675,409.7831206120585,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.13193986926383475,0.12672195597010116,0.9831243139978552,,,,,,
116011.025664,3,1.0,0.3994962155021297,0.4597463358007102,116011.025664-0,-74.57809982520985,8.295573140406631,409.8362338223171,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.1319239555934599,0.12591177200393108,0.9832305404183723,,,,,,
116011.061414,4,1.0,0.4006953615782269,0.45888350683526,116011.061414-0,-73.79705863554365,8.617355215734335,409.8990922966485,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.13036187321412757,0.1265553361545865,0.9833562573670351,,,,,,
116011.097165,5,1.0,0.40471001907616877,0.4583428033386516,116011.097165-0,-71.19988307892785,8.816635345139957,410.2107499899869,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.125167522100896,0.12695389641339772,0.9839795727537118,,,,,,
116011.132915,6,1.0,0.40430188956364005,0.4585322014781189,116011.132915-0,-71.46475515837547,8.746128759784213,410.1860766797211,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.12569726625979116,0.12681288324268628,0.9839302261331804,,,,,,
116011.168666,7,1.0,0.40351621964973133,0.4598113918460466,116011.168666-0,-71.9809823317683,8.268452848159825,410.18119058782855,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.12672972060657692,0.1258575314194375,0.9839204539493951,,,,,,
116011.204416,9,1.0,0.40326826290657297,0.4602570393285882,116011.204416-0,-72.14422909919654,8.101986757427412,410.1814024276234,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.1270562141414334,0.12552459923797263,0.983920877628985,,,,,,
116011.240166,10,1.0,0.40407493186900273,0.46168570244824203,116011.240166-0,-71.6328661009346,7.567162932721757,410.3150920304276,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.12603348814490944,0.12445495158856135,0.9841882568345931,,,,,,
116011.275917,11,1.0,0.4034222832712425,0.4604275076014228,116011.275917-0,-72.04589602586276,8.038137788576904,410.2022316068557,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.12685954799476576,0.12539690130027165,0.9839625359874496,,,,,,
116011.311667,12,1.0,0.4027015969461294,0.459636823763354,116011.311667-0,-72.50605053090334,8.334284659080879,410.10485003264733,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.12777985700484693,0.12598919504127964,0.9837677728390327,,,,,,
116011.347418,13,1.0,0.40053705862523925,0.46014810338099355,116011.347418-0,-73.90825276335386,8.144596248383522,409.9449523057631,-8.616122028479872,-54.66031286155892,-81.77903638686904,-0.13058426146974805,0.12560981821988487,0.9834479773852642,,,,,,
