timestamp,index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
116355.588019,0,1.0,0.41326892379390207,0.48920983109023997,116355.588019-0,-65.82666788693516,-2.7539246776738366,411.93806894247604,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.11475384123172115,0.10390465748464887,0.9879450278611468,,,,,,
116355.623769,1,1.0,0.4165204763560023,0.486148012740938,116355.623769-0,-63.70559427011297,-1.6049394417525207,412.05769401656494,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.11051169399807681,0.10620262795649146,0.9881842780093245,,,,,,
116355.65952,3,1.0,0.42158229451561924,0.48574221778558924,116355.65952-0,-60.433261415540585,-1.4535947801701496,412.39640822090485,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.10396702828893203,0.10650531727965619,0.9888617064180043,,,,,,
116355.69527,4,1.0,0.42353488072773915,0.4864946761668474,116355.69527-0,-59.1767416126653,-1.7362513854889414,412.55725624589235,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.10145398868318146,0.10594000406901866,0.9891834024679794,,,,,,
116355.731021,5,1.0,0.42198214723008076,0.4861335116168558,116355.731021-0,-60.177328745549055,-1.6004782659016143,412.4390466776177,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.10345516294894888,0.1062115503081933,0.98894698333143,,,,,,
116355.766771,6,1.0,0.42082872831051976,0.4872168703372187,116355.766771-0,-60.9286576165483,-2.006826545107998,412.4033512775297,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.10495782069094745,0.10539885374978052,0.988875592531254,,,,,,
116355.802521,7,1.0,0.41833364584757715,0.48754285875482073,116355.802521-0,-62.542542151584655,-2.128787378220224,412.2423798850102,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.10818558976102016,0.10515493208355607,0.9885536497462151,,,,,,
116355.838272,8,1.0,0.4158017304584991,0.4885260317754986,116355.838272-0,-64.18488304873088,-2.497507814689939,412.0989798297005,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.11147027155531257,0.10441749121061665,0.9882668496355956,,,,,,
116355.874022,9,1.0,0.4139093537826478,0.48685886787157906,116355.874022-0,-65.39762612110805,-1.8712772677234284,411.8940967965117,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.11389575770006688,0.1056699523045496,0.987857083569218,,,,,,
116355.909773,10,1.0,0.413340342968276,0.4848921000916754,116355.909773-0,-65.75290642619146,-1.1329796862128063,411.77346532955653,-8.449747271074585,-54.70625341999826,-82.03444498809735,-0.11460631831023384,0.10714654746757085,0.9876158206353077,,,,,,
