timestamp,index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
113849.174026,1,1.0,0.43941419532314496,0.6110846195452823,113849.174026-0,-31.8629217032136,-31.527288015533145,267.6434716636313,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4245772313618348,0.394202797467873,0.8150695240760893,,,,,,
113849.209776,2,1.0,0.44115212130940734,0.6104688533289035,113849.209776-0,-31.063733542349453,-31.304772681928227,267.1183665023641,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4261756076835631,0.39464782813508276,0.8140193137535547,,,,,,
113849.245526,3,1.0,0.44259896755553596,0.60869623012251,113849.245526-0,-30.377875677208863,-30.790735944312758,266.50871796912844,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4275473234138442,0.3956759016103138,0.8128000166870837,,,,,,
113849.281277,4,1.0,0.44443820229416564,0.6086170886981916,113849.281277-0,-29.550184343708494,-30.70731558415406,266.03159652562505,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.429202706080845,0.3958427423306312,0.8118457738000768,,,,,,
113849.317027,5,1.0,0.4456764735500423,0.6074356140050605,113849.317027-0,-28.9750055105534,-30.3577673246904,265.55624339698863,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4303530637471551,0.3965418388495584,0.8108950675428039,,,,,,
113849.352778,6,1.0,0.4474646466761545,0.6059003196639776,113849.352778-0,-28.15145212940172,-29.89969884094893,264.8935321360222,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.43200017050945855,0.39745797581704145,0.8095696450208711,,,,,,
113849.388528,7,1.0,0.4503810230803504,0.6018879105234909,113849.388528-0,-26.79385600479874,-28.770125828383527,263.6086401980136,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4347153627586645,0.3997171218421722,0.8069998611448538,,,,,,
113849.424278,8,1.0,0.45166435844308,0.599469878835095,113849.424278-0,-26.19084836868204,-28.109974910274957,262.9553110091168,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4359213780308979,0.40103742367838935,0.8056932027670605,,,,,,
113849.460029,10,1.0,0.45169826277910136,0.5980735219735742,113849.460029-0,-26.153912092718073,-27.75200387335866,262.75693530650926,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.43599525058282584,0.4017533657522219,0.8052964513618454,,,,,,
113849.495779,11,1.0,0.4450019673220617,0.5921892149891321,113849.495779-0,-29.007781489583948,-26.448899506153452,263.6387555079658,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.430287511789094,0.40435957448663234,0.8070600917647583,,,,,,
113849.53153,12,1.0,0.44510209270582113,0.5911423825055211,113849.53153-0,-28.94515010395301,-26.17867248501966,263.46984136504693,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4304127745603559,0.40490002852889995,0.8067222634789204,,,,,,
113849.56728,13,1.0,0.4444039881742511,0.5959520025539653,113849.56728-0,-29.33952885226323,-27.430701559198496,264.3056563556186,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42962401706373554,0.40239597038054226,0.8083938934600641,,,,,,
113849.60303,14,1.0,0.44238327613201617,0.6006338723576965,113849.60303-0,-30.326246276060374,-28.70081500048468,265.4574372422777,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42765058221614116,0.39985574349796976,0.8106974552333821,,,,,,
113849.638781,15,1.0,0.4429564391054305,0.6011886004973683,113849.638781-0,-30.079649574332265,-28.826142376806587,265.38906951458875,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4281437756195975,0.3996050887453261,0.8105607197780044,,,,,,
113849.674531,16,1.0,0.4427607040767908,0.5995602314146282,113849.674531-0,-30.1375798986779,-28.4111552581428,265.2148266923798,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4280279149709062,0.40043506298265363,0.8102122341335863,,,,,,
113849.710282,17,1.0,0.44421176985278504,0.600089475676137,113849.710282-0,-29.498742468573937,-28.502111045682966,264.9216680792613,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42930558983111405,0.4002531514075732,0.8096259169073492,,,,,,
113849.746032,18,1.0,0.44416575017354243,0.600604456408474,113849.746032-0,-29.52847931327247,-28.63656869424321,265.0038758848264,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42924611614171704,0.39998423611045286,0.8097903325184795,,,,,,
113849.781782,19,1.0,0.4338315382518802,0.5689470616155928,113849.781782-0,-33.549734165525834,-20.846671428556135,263.18874459414184,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42120360643721033,0.415564030641827,0.8061600699371104,,,,,,
113849.817533,20,1.0,0.42311469988818207,0.5300565269598971,113849.817533-0,-37.534660771903404,-11.410852045618412,260.26602692164454,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4132337532244552,0.4344356694077025,0.8003146345921158,,,,,,
113849.853283,21,1.0,0.42357922144582416,0.5269720848730679,113849.853283-0,-37.259336873074716,-10.655856841565765,259.7128422238783,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4137844010221125,0.43594565981580763,0.7992082651965832,,,,,,
113849.889034,22,1.0,0.42608825932857697,0.5285432218707287,113849.889034-0,-36.17448113923257,-11.006550669793683,259.34065970451695,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4159541124897967,0.43524427215935185,0.7984639001578606,,,,,,
113849.924784,23,1.0,0.4270921358984524,0.5271689701820007,113849.924784-0,-35.699810507079434,-10.662165892723067,258.90499013429536,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4169034537541031,0.43593304171349306,0.7975925610174174,,,,,,
113849.960534,24,1.0,0.4291865270032565,0.5275974286233033,113849.960534-0,-34.781945791734714,-10.74086593682921,258.466929897181,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41873918318479253,0.43577564162528076,0.7967164405431887,,,,,,
113849.996285,26,1.0,0.43036364992960874,0.5272651604276815,113849.996285-0,-34.256296844836086,-10.646975952489072,258.1388111970295,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4197904810785898,0.4359634215939612,0.7960602031428857,,,,,,
113850.032035,27,1.0,0.43233763948239423,0.5280278661359123,113850.032035-0,-33.403990245824005,-10.80714742579272,257.7759679985272,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42149509427661397,0.4356430786473537,0.7953345167458812,,,,,,
113850.067786,28,1.0,0.43351028956478566,0.5282492384521117,113850.067786-0,-32.89465405380804,-10.846387665992552,257.5271282368449,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4225137666606459,0.43556459816695414,0.7948368372225165,,,,,,
113850.103536,29,1.0,0.4343729799887246,0.5291960146190704,113850.103536-0,-32.53557957057261,-11.063359862819368,257.4549250792581,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.42323191562711676,0.4351306537733004,0.7946924309073428,,,,,,
113850.139286,30,1.0,0.419484004151738,0.5046981405808637,113850.139286-0,-38.59467175011626,-5.348680043623858,257.4654933806361,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4111137312680295,0.44656001341169155,0.7947135675100989,,,,,,
113850.175037,31,1.0,0.4140994815849983,0.4966080395524286,113850.175037-0,-40.81417607999789,-3.45725939822222,257.54014497321293,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4066747226082662,0.45034285470249485,0.7948628706952525,,,,,,
113850.210787,32,1.0,0.4152859703064604,0.4975123531635942,113850.210787-0,-40.304050501042624,-3.666627332707833,257.3973627663711,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4076949737661768,0.44992411883352357,0.794577306281569,,,,,,
113850.246538,33,1.0,0.41781369465350054,0.49976996536454443,113850.246538-0,-39.227609724916576,-4.189801298022019,257.1394018523125,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4098478553184288,0.44887777090289527,0.7940613844534518,,,,,,
113850.282288,34,1.0,0.41924269140337067,0.5005391115782767,113850.282288-0,-38.60931113595913,-4.364988513071694,256.9187232117854,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41108445249634373,0.4485273964727959,0.7936200271723974,,,,,,
113850.318038,35,1.0,0.41892044454985483,0.499344559425018,113850.318038-0,-38.72582152106476,-4.084341535057604,256.8203332193224,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4108514317261324,0.44908869042882393,0.7934232471874715,,,,,,
113850.353789,36,1.0,0.42027958730001574,0.4995805361978102,113850.353789-0,-38.12824599026807,-4.133971963985118,256.53843408709014,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41204658278772577,0.448989429570969,0.792859448923007,,,,,,
113850.389539,37,1.0,0.4201444160358635,0.4978233588563322,113850.389539-0,-38.14951111327889,-3.720662628803609,256.3151531098404,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41200405254170425,0.4498160482413321,0.7924128869685076,,,,,,
113850.42529,38,1.0,0.4198288354475239,0.4984401711723445,113850.42529-0,-38.30281429230807,-3.867177143874869,256.47794026954097,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4116974461836459,0.44952301921118953,0.7927384612879087,,,,,,
113850.46104,39,1.0,0.41964533616957683,0.4984962972342557,113850.46104-0,-38.385365000925106,-3.8811672274081275,256.5287327972795,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4115323447664118,0.4494950390441231,0.7928400463433857,,,,,,
113850.49679,40,1.0,0.4186083672710298,0.495521965714815,113850.49679-0,-38.779078535993406,-3.1850453114229254,256.33757995411736,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4107449176962751,0.4508872828760934,0.7924577406570614,,,,,,
113850.532541,42,1.0,0.4055684132528549,0.4745302588314091,113850.532541-0,-44.11240358393577,1.7185858327354708,256.24565433335687,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40007826760039034,0.4606945451644102,0.7922738894155404,,,,,,
113850.568291,43,1.0,0.4055664611443227,0.46522594404501694,113850.568291-0,-43.88050420678688,3.8743466842489056,254.8666768842582,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40054206635468825,0.46500606686743706,0.7895159345173433,,,,,,
113850.604042,44,1.0,0.4049997375674315,0.46520966249022455,113850.604042-0,-44.13444458511418,3.8806807981027305,254.99167531397575,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40003418559803366,0.46501873509514474,0.7897659313767782,,,,,,
113850.639792,45,1.0,0.4045461924276313,0.46698998622794907,113850.639792-0,-44.38305334319844,3.471553653427634,255.35803750471803,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.399536968081865,0.46420048080579446,0.7904986557582627,,,,,,
113850.675542,46,1.0,0.40463849536909746,0.4680829130988019,113850.675542-0,-44.3690568641678,3.2183600044126592,255.49953828603216,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.39956496103992634,0.4636940935077646,0.790781657320891,,,,,,
113850.711293,47,1.0,0.40377944262844057,0.4709287927827135,113850.711293-0,-44.82868690900817,2.5612210300521383,256.1158153943698,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.3986457009502456,0.46237981555904345,0.7920142115375663,,,,,,
113850.747043,48,1.0,0.4034465009973015,0.47366401580710893,113850.747043-0,-45.049327230521925,1.9252497458085713,256.59728736582804,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.39820442030721803,0.46110787299055633,0.7929771554804828,,,,,,
113850.782794,49,1.0,0.40302723366109383,0.44895304296804184,113850.782794-0,-44.610696198573834,7.612767122961145,253.01255049660764,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.3990816823711143,0.47248290774486146,0.785807681742042,,,,,,
113850.818544,50,0.9872306870072828,0.40218040802632216,0.43041904733184133,113850.818544-0,-44.52554622152064,11.786702502265285,250.42896821240703,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.3992519823252207,0.4808307785034699,0.7806405171736408,,,,,,
113850.854294,51,1.0,0.4009424701610662,0.403154947743396,113850.854294-0,-44.40166300866396,17.787069415427084,246.6048451828098,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.3994997487509341,0.49283151232979333,0.7729922711144465,,,,,,
113850.890045,52,1.0,0.4024838776371505,0.40213790914814973,113850.890045-0,-43.70442078647615,17.975444528993876,246.1234190397236,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4008942331953097,0.4932082625569271,0.7720294188282739,,,,,,
113850.925795,53,1.0,0.40294150896254094,0.40353581116495985,113850.925795-0,-43.538448218216715,17.66469421122406,246.23557860812673,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40122617833182855,0.49258676192138745,0.7722537379650802,,,,,,
113850.961546,54,1.0,0.402673886316457,0.40497459926850676,113850.961546-0,-43.68940655563789,17.35919864614931,246.50862466477508,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40092426165698614,0.4919757707912379,0.7727998300783769,,,,,,
113850.997296,55,1.0,0.40393991054471556,0.4067446828624618,113850.997296-0,-43.179918548383014,16.951815412318865,246.5031006051954,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4019432376714959,0.49116100432357684,0.7727887819592175,,,,,,
113851.033046,56,1.0,0.4043028788056889,0.40686387042525507,113851.033046-0,-43.024795052251164,16.91908741604044,246.44318145191676,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40225348466375954,0.4910955483310201,0.7726689436526601,,,,,,
113851.068797,58,1.0,0.4080253627890388,0.40946596388076395,113851.068797-0,-41.47138109591201,16.28695815315706,246.03238229793484,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4053603125764379,0.48983128980525326,0.7718473453446963,,,,,,
113851.104547,59,1.0,0.40998887008504636,0.4107352045548722,113851.104547-0,-40.6532317954117,15.977263792584495,245.79818132780795,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40699661117743846,0.4892119010841081,0.7713789434044427,,,,,,
113851.140298,60,1.0,0.40654609765856514,0.3976429882087762,113851.140298-0,-41.840395201818794,18.855603677470327,244.58462270826908,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4046222843646244,0.49496858085388,0.768951826165365,,,,,,
113851.176048,61,1.0,0.4036115056745069,0.36756372722328123,113851.176048-0,-42.41415467731153,25.25957921982223,240.69086477964603,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40347476541363886,0.5077765319385836,0.7611643103081189,,,,,,
113851.211798,62,1.0,0.4053364903820816,0.35020645183214283,113851.211798-0,-41.29817129006196,28.771919782767156,237.72682309624946,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.405706732188138,0.5148012130644735,0.7552362269413256,,,,,,
113851.247549,63,1.0,0.40901019705388253,0.3412558816098976,113851.247549-0,-39.57300844129159,30.458408312019117,235.6370077179982,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.40915705788567874,0.5181741901229774,0.751056596184823,,,,,,
113851.283299,64,1.0,0.41115704217520455,0.3432132859019337,113851.283299-0,-38.72362015579181,29.993899557793753,235.49348379066757,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41085583445667845,0.5172451726145268,0.750769548330162,,,,,,
113851.31905,65,1.0,0.41397280104989775,0.34445238730462324,113851.31905-0,-37.587050274534406,29.65278823826867,235.1044327256078,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41312897421919326,0.5165629499754767,0.7499914462000423,,,,,,
113851.3548,66,1.0,0.41396185144536723,0.34615345701519606,113851.3548-0,-37.62509394546376,29.312289965729008,235.359666575445,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41305288687733444,0.5158819534303973,0.7505019138997168,,,,,,
113851.39055,67,1.0,0.41444098938728535,0.3463942693465043,113851.39055-0,-37.43266629723168,29.248511682435833,235.29754057004544,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41343774217379853,0.5157543968638109,0.7503776618889175,,,,,,
113851.426301,68,1.0,0.4153917561719046,0.3449459801649615,113851.426301-0,-37.01389961235044,29.507720743907555,234.88810359587922,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.41427527554356114,0.5162728149867544,0.7495587879405853,,,,,,
113851.462051,69,0.99,0.4272096912302402,0.2970429358529004,113851.462051-0,-31.4473026905618,38.360826865809855,225.448973164797,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4254084693871384,0.5339790272305589,0.7306805270784208,,,,,,
113851.497802,70,1.0,0.4301397243338213,0.28005853912690604,113851.497802-0,-30.053083294997563,41.39886364418973,222.38895195884325,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4281969081782667,0.5400551007873187,0.7245604846665132,,,,,,
113851.533552,71,1.0,0.4309626446867081,0.2765660068064365,113851.533552-0,-29.686094678115126,42.004915848599154,221.71903446394546,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4289308854120317,0.5412672051961376,0.7232206496767176,,,,,,
113851.569302,72,1.0,0.431545531488106,0.2778054935026094,113851.569302-0,-29.48135639355857,41.75105989375234,221.78744275572535,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4293403619811448,0.5407594932864439,0.7233574662602774,,,,,,
113851.605053,74,1.0,0.4321227052949063,0.276948745049714,113851.605053-0,-29.248470072657923,41.88257669974473,221.5507215821802,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4298061346229461,0.5410225268984288,0.7228840239131871,,,,,,
113851.640803,75,1.0,0.4334490778734281,0.2749546282250991,113851.640803-0,-28.71474228131561,42.18835405568791,221.00359421854571,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.43087359020563076,0.5416340816103151,0.7217897691859182,,,,,,
113851.676554,76,1.0,0.43213880475778454,0.2774774778728145,113851.676554-0,-29.24997328822107,41.78480063734969,221.62477232326285,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4298031281918198,0.5408269747736386,0.7230321253953523,,,,,,
113851.712304,77,1.0,0.432842225146233,0.2795548338701075,113851.712304-0,-29.01148625875493,41.371858170007556,221.7915321993937,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4302801022507522,0.5400010898389545,0.7233656451476143,,,,,,
113851.748054,78,1.0,0.4329229659557254,0.2809009876532902,113851.748054-0,-29.000021748029283,41.12066052479457,221.97210230934087,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4303030312722033,0.5394986945485283,0.7237267853675083,,,,,,
113851.783805,79,1.0,0.4336466554276955,0.2842511549566903,113851.783805-0,-28.77177701153815,40.47164582574317,222.3193801334479,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4307595207451857,0.5382006651504256,0.7244213410157224,,,,,,
113851.819555,80,1.0,0.4355769233741551,0.28421680768879154,113851.819555-0,-28.03584102166913,40.39462975948385,221.93803535844077,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4322313927249236,0.5380466330179069,0.7236586514657082,,,,,,
113851.855306,81,1.0,0.4361172576611795,0.2837947067873434,113851.855306-0,-27.824683324952474,40.449036327197916,221.77135789982466,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.43265370811835696,0.5381554461533351,0.723325296548476,,,,,,
113851.891056,82,1.0,0.4408463711242555,0.2776448085667367,113851.891056-0,-25.959091767016645,41.368847732130064,219.96060700766262,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4363848912342286,0.5399950689631993,0.719703794764152,,,,,,
113851.926806,83,1.0,0.44463464162120286,0.26913980898169554,113851.926806-0,-24.443180863661695,42.739296317223165,218.00206782239582,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4394167130409386,0.5427359661333855,0.7157867163936183,,,,,,
113851.962557,84,1.0,0.44456338781083843,0.27076746703304877,113851.962557-0,-24.489019784145796,42.449539001483856,218.24970683946538,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.43932503519997035,0.5421564515019069,0.7162819944277574,,,,,,
113851.998307,85,1.0,0.4474981572581891,0.2725997008785025,113851.998307-0,-23.426039097015547,41.98933146785299,217.94406648965276,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.44145099657423087,0.5412360364346452,0.7156707137281323,,,,,,
113852.034058,86,1.0,0.44657577053653397,0.27476665902175545,113852.034058-0,-23.79153060376605,41.639422474905956,218.43344579103575,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4407200135607298,0.5405362184487511,0.7166494723308983,,,,,,
113852.069808,87,1.0,0.44870748197672816,0.27755030543933024,113852.069808-0,-23.036668211991284,41.04432423629811,218.41679183537667,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4422297383442794,0.5393460219715355,0.7166161644195801,,,,,,
113852.105558,88,1.0,0.44821741993066144,0.28248759312220484,113852.105558-0,-23.273782325162614,40.17143870938702,219.21803820591396,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4417555101179367,0.5376002509177131,0.7182186571606546,,,,,,
113852.141309,90,1.0,0.44968723969480306,0.2820007216712592,113852.141309-0,-22.725580074967866,40.19766094807298,218.86062977838628,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.44285191461832624,0.5376526953950853,0.7175038403055993,,,,,,
113852.177059,91,0.9905298258298839,0.4683184378772925,0.2672827002251116,113852.177059-0,-15.876711372429213,42.02588142517368,213.14795466149593,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.45654965202340364,0.5413091363492867,0.7060784900718186,,,,,,
113852.21281,92,1.0,0.47334511001722024,0.26504864308005616,113852.21281-0,-14.101491873086871,42.19984595840472,211.85987512709073,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4601000910220883,0.5416570654157488,0.7035023310030082,,,,,,
113852.24856,93,1.0,0.4730939271071513,0.26891819337737133,113852.24856-0,-14.215169669852315,41.53545336158004,212.44463484528552,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.45987273542855733,0.5403282802220993,0.7046718504393978,,,,,,
113852.28431,94,0.9746983593489743,0.4732221580675846,0.26737216954305687,113852.28431-0,-14.159975308916017,41.800047838201266,212.20554415199032,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4599831241504299,0.5408574691753417,0.7041936690528073,,,,,,
113852.320061,95,1.0,0.4712121307467297,0.26358549887154326,113852.320061-0,-14.834988246174163,42.54692744813627,212.07135900192364,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.45863309827591364,0.5423512283952118,0.703925298752674,,,,,,
113852.355811,96,1.0,0.4721102321119381,0.263916864847197,113852.355811-0,-14.523907399681747,42.45023765421158,211.94300058067293,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.45925525996889843,0.5421578488073624,0.7036685819101726,,,,,,
113852.391562,97,0.9859376302969582,0.47242973139112643,0.26168053891373866,113852.391562-0,-14.397206678976971,42.825337951749134,211.57088397118665,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.45950866141030805,0.5429080494024375,0.7029243486912,,,,,,
113852.427312,98,1.0,0.47103247181030933,0.26487228976671107,113852.427312-0,-14.906899864638717,42.33033651967827,212.28494942263202,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4584892750389845,0.5419180465382958,0.7043524795940909,,,,,,
113852.463062,99,0.9911225375767476,0.47037199864297785,0.264468550860548,113852.463062-0,-15.135039515144626,42.42940650964849,212.3571358570687,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4580329957379728,0.5421161865182362,0.7044968524629642,,,,,,
113852.498813,100,0.9858818855234041,0.4698317315893932,0.265328788264672,113852.498813-0,-15.33054588989097,42.302574985678405,212.58169478358954,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.45764198298848,0.5418625234702961,0.7049459703160058,,,,,,
113852.534563,101,1.0,0.4707998537678277,0.2662169126008931,113852.534563-0,-14.997880037476676,42.10557240841507,212.51694199663038,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4583073146933086,0.5414685183157694,0.7048164647420875,,,,,,
113852.570314,102,1.0,0.47327702514181225,0.26636081840567005,113852.570314-0,-14.134029644031983,41.97412903532819,212.05481661126183,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.46003501548019804,0.5412056315695957,0.7038922139713504,,,,,,
113852.606064,103,0.9991278501647066,0.47355838325603106,0.26633777933790237,113852.606064-0,-14.035918669062568,41.96610764663012,211.99684422110528,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4602312374301368,0.5411895887921994,0.7037762691910374,,,,,,
113852.641814,104,1.0,0.47440032330379384,0.26628337920314293,113852.641814-0,-13.742774964340015,41.939601405280825,211.82536212470902,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.46081752483958194,0.5411365763095008,0.7034333049982449,,,,,,
113852.677565,106,1.0,0.472905681373713,0.27467978792719616,113852.677565-0,-14.320377038599588,40.533318246084775,213.27928144747543,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4596623206910628,0.5383240099911089,0.7063411436437775,,,,,,
113852.713315,107,1.0,0.4757574246038757,0.2724393338633776,113852.713315-0,-13.310971670660763,40.80793636358533,212.4104827498767,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4616811314269404,0.5388732462261099,0.7046035462485801,,,,,,
113852.749066,108,1.0,0.476053006971875,0.27323470825436114,113852.749066-0,-13.213305565113586,40.65650607918181,212.46225084170933,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4618764636380348,0.5385703856573029,0.7047070824322454,,,,,,
113852.784816,109,1.0,0.4726863546976534,0.2890275880678802,113852.784816-0,-14.49749348093414,38.002168440377034,215.30866342575217,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4593080878063937,0.5332617103796933,0.710399907600331,,,,,,
113852.820566,110,1.0,0.4707871257100968,0.2921228918516606,113852.820566-0,-15.191523184912313,37.52263565485356,216.11543074237073,-244.15153738413096,-228.6286867494696,-139.89129037441336,0.4579200283984373,0.5323026448086464,0.7120134422335682,,,,,,
